Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2018;Municipios;1185;Puebla de la Sierra;1.67;
2018;Municipios;9020;Puentes Viejas;7.63;
2018;Municipios;1198;Quijorna;5.81;
2018;Municipios;1202;Rascafría;4.75;
2018;Municipios;1219;Redueña;4.45;
2018;Municipios;1224;Ribatejada;9.63;
2018;Municipios;1230;Rivas-Vaciamadrid;5.04;
2018;Municipios;1245;Robledillo de la Jara;4.60;
2018;Municipios;1258;Robledo de Chavela;6.32;
2018;Municipios;1261;Robregordo;2.08;
2018;Municipios;1277;Rozas de Madrid (Las);3.31;
2018;Municipios;1283;Rozas de Puerto Real;6.26;
2018;Municipios;1296;San Agustín del Guadalix;4.51;
2018;Municipios;1300;San Fernando de Henares;6.47;
2018;Municipios;1317;San Lorenzo de El Escorial;5.08;
2018;Municipios;1322;San Martín de la Vega;7.56;
2018;Municipios;1338;San Martín de Valdeiglesias;8.57;
2018;Municipios;1343;San Sebastián de los Reyes;4.91;
2018;Municipios;1356;Santa María de la Alameda;8.71;
2018;Municipios;1369;Santorcaz;5.06;
2018;Municipios;1375;Santos de la Humosa (Los);6.73;
2018;Municipios;1381;Serna del Monte (La);12.16;
2018;Municipios;1408;Serranillos del Valle;5.78;
2018;Municipios;1415;Sevilla la Nueva;5.77;
2018;Municipios;1436;Somosierra;2.50;
2018;Municipios;1441;Soto del Real;4.44;
2018;Municipios;1454;Talamanca de Jarama;5.66;
2018;Municipios;1467;Tielmes;9.18;
2018;Municipios;1473;Titulcia;7.67;
2018;Municipios;1489;Torrejón de Ardoz;7.12;
2018;Municipios;1492;Torrejón de la Calzada;5.33;
2018;Municipios;1505;Torrejón de Velasco;5.91;
2018;Municipios;1512;Torrelaguna;6.12;
2018;Municipios;1527;Torrelodones;3.12;
2018;Municipios;1533;Torremocha de Jarama;5.33;
2018;Municipios;1548;Torres de la Alameda;7.84;
2018;Municipios;9036;Tres Cantos;3.50;
2018;Municipios;1551;Valdaracete;9.74;
2018;Municipios;1564;Valdeavero;7.22;
2018;Municipios;1570;Valdelaguna;6.98;
2018;Municipios;1586;Valdemanco;5.29;
2018;Municipios;1599;Valdemaqueda;9.86;
2018;Municipios;1603;Valdemorillo;5.40;
2018;Municipios;1610;Valdemoro;6.48;
2018;Municipios;1625;Valdeolmos-Alalpardo;3.81;
2018;Municipios;1631;Valdepiélagos;5.05;
2018;Municipios;1646;Valdetorres de Jarama;6.89;
2018;Municipios;1659;Valdilecha;8.13;
2018;Municipios;1662;Valverde de Alcalá;5.56;
2018;Municipios;1678;Velilla de San Antonio;6.13;
2018;Municipios;1684;Vellón (El);7.05;
2018;Municipios;1697;Venturada;3.41;
2018;Municipios;1718;Villa del Prado;7.08;
2018;Municipios;1701;Villaconejos;8.95;
2018;Municipios;1723;Villalbilla;4.71;
2018;Municipios;1739;Villamanrique de Tajo;9.73;
2018;Municipios;1744;Villamanta;6.40;
2018;Municipios;1757;Villamantilla;7.75;
2018;Municipios;1760;Villanueva de la Cañada;3.47;
2018;Municipios;1782;Villanueva de Perales;7.37;
2018;Municipios;1776;Villanueva del Pardillo;4.22;
2018;Municipios;1795;Villar del Olmo;5.95;
2018;Municipios;1809;Villarejo de Salvanés;8.17;
2018;Municipios;1816;Villaviciosa de Odón;3.46;
2018;Municipios;1821;Villavieja del Lozoya;5.04;
2018;Municipios;1837;Zarzalejo;8.15;
2018;Zonas Estadísticas;03;Este Metropolitano;6.52;
2018;Zonas Estadísticas;01;Municipio de Madrid;5.57;
2018;Zonas Estadísticas;07;Nordeste Comunidad;5.97;
2018;Zonas Estadísticas;02;Norte Metropolitano;4.58;
2018;Zonas Estadísticas;05;Oeste Metropolitano;3.83;
2018;Zonas Estadísticas;11;Sierra Central;5.18;
2018;Zonas Estadísticas;06;Sierra Norte;6.02;
2018;Zonas Estadísticas;10;Sierra Sur;8.74;
2018;Zonas Estadísticas;08;Sudeste Comunidad;7.33;
2018;Zonas Estadísticas;09;Sudoeste Comunidad;5.97;
2018;Zonas Estadísticas;04;Sur Metropolitano;6.81;
2019;Comunidad de Madrid;;Comunidad de Madrid;5.31;
2019;Municipios;0014;Acebeda (La);7.14;
2019;Municipios;0029;Ajalvir;4.50;
2019;Municipios;0035;Alameda del Valle;5.00;
2019;Municipios;0040;Álamo (El);6.84;
2019;Municipios;0053;Alcalá de Henares;6.50;
2019;Municipios;0066;Alcobendas;3.95;
2019;Municipios;0072;Alcorcón;5.50;
2019;Municipios;0088;Aldea del Fresno;7.58;
2019;Municipios;0091;Algete;4.32;
2019;Municipios;0105;Alpedrete;4.60;
2019;Municipios;0112;Ambite;9.80;
2019;Municipios;0127;Anchuelo;6.22;
2019;Municipios;0133;Aranjuez;7.14;
2019;Municipios;0148;Arganda del Rey;7.69;
2019;Municipios;0151;Arroyomolinos;4.33;
2019;Municipios;0164;Atazar (El);5.62;
2019;Municipios;0170;Batres;5.05;
2019;Municipios;0186;Becerril de la Sierra;5.55;
2019;Municipios;0199;Belmonte de Tajo;6.55;
2019;Municipios;0210;Berrueco (El);4.34;
2019;Municipios;0203;Berzosa del Lozoya;3.41;
2019;Municipios;0225;Boadilla del Monte;2.52;
2019;Municipios;0231;Boalo (El);5.14;
2019;Municipios;0246;Braojos;4.39;
2019;Municipios;0259;Brea de Tajo;9.35;
2019;Municipios;0262;Brunete;4.59;
2019;Municipios;0278;Buitrago del Lozoya;4.83;
2019;Municipios;0284;Bustarviejo;6.35;
2019;Municipios;0297;Cabanillas de la Sierra;4.63;
2019;Municipios;0301;Cabrera (La);5.81;
2019;Municipios;0318;Cadalso de los Vidrios;9.77;
2019;Municipios;0323;Camarma de Esteruelas;6.53;
2019;Municipios;0339;Campo Real;7.21;
2019;Municipios;0344;Canencia;6.04;
2019;Municipios;0357;Carabaña;7.31;
2019;Municipios;0360;Casarrubuelos;5.90;
2019;Municipios;0376;Cenicientos;10.03;
2019;Municipios;0382;Cercedilla;4.81;
2019;Municipios;0395;Cervera de Buitrago;4.67;
2019;Municipios;0513;Chapinería;6.74;
2019;Municipios;0528;Chinchón;7.24;
2019;Municipios;0409;Ciempozuelos;6.50;
2019;Municipios;0416;Cobeña;3.46;
2019;Municipios;0468;Collado Mediano;6.02;
2019;Municipios;0474;Collado Villalba;6.25;
2019;Municipios;0437;Colmenar de Oreja;7.28;
2019;Municipios;0421;Colmenar del Arroyo;6.84;
2019;Municipios;0455;Colmenar Viejo;5.02;
2019;Municipios;0442;Colmenarejo;4.96;
2019;Municipios;0480;Corpa;6.31;
2019;Municipios;0493;Coslada;5.45;
2019;Municipios;0506;Cubas de la Sagra;4.41;
2019;Municipios;0534;Daganzo de Arriba;4.40;
2019;Municipios;0549;Escorial (El);4.80;
2019;Municipios;0552;Estremera;7.06;
2019;Municipios;0565;Fresnedillas de la Oliva;7.76;
2019;Municipios;0571;Fresno de Torote;5.36;
2019;Municipios;0587;Fuenlabrada;6.87;
2019;Municipios;0590;Fuente el Saz de Jarama;5.85;
2019;Municipios;0604;Fuentidueña de Tajo;8.38;
2019;Municipios;0611;Galapagar;5.05;
2019;Municipios;0626;Garganta de los Montes;6.05;
2019;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;6.33;
2019;Municipios;0647;Gascones;5.18;
2019;Municipios;0650;Getafe;5.56;
2019;Municipios;0663;Griñón;4.22;
2019;Municipios;0679;Guadalix de la Sierra;6.21;
2019;Municipios;0685;Guadarrama;4.66;
2019;Municipios;0698;Hiruela (La);3.51;
2019;Municipios;0702;Horcajo de la Sierra-Aoslos;4.83;
2019;Municipios;0719;Horcajuelo de la Sierra;2.33;
2019;Municipios;0724;Hoyo de Manzanares;3.69;
2019;Municipios;0730;Humanes de Madrid;7.03;
2019;Municipios;0745;Leganés;5.91;
2019;Municipios;0758;Loeches;5.47;
2019;Municipios;0761;Lozoya;3.96;
2019;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5.39;
2019;Municipios;0783;Madarcos;4.17;
2019;Municipios;0796;Madrid;5.13;
2019;Municipios;0800;Majadahonda;2.95;
2019;Municipios;0822;Manzanares el Real;5.46;
2019;Municipios;0838;Meco;5.74;
2019;Municipios;0843;Mejorada del Campo;6.60;
2019;Municipios;0856;Miraflores de la Sierra;6.19;
2019;Municipios;0869;Molar (El);5.48;
2019;Municipios;0875;Molinos (Los);5.67;
2019;Municipios;0881;Montejo de la Sierra;2.27;
2019;Municipios;0894;Moraleja de Enmedio;5.76;
2019;Municipios;0908;Moralzarzal;4.43;
2019;Municipios;0915;Morata de Tajuña;7.43;
2019;Municipios;0920;Móstoles;6.08;
2019;Municipios;0936;Navacerrada;3.97;
2019;Municipios;0941;Navalafuente;7.25;
2019;Municipios;0954;Navalagamella;6.32;
2019;Municipios;0967;Navalcarnero;5.95;
2019;Municipios;0973;Navarredonda y San Mamés;5.43;
2019;Municipios;0992;Navas del Rey;7.61;
2019;Municipios;1006;Nuevo Baztán;6.04;
2019;Municipios;1013;Olmeda de las Fuentes;4.60;
2019;Municipios;1028;Orusco de Tajuña;7.96;
2019;Municipios;1049;Paracuellos de Jarama;3.28;
2019;Municipios;1065;Parla;7.50;
2019;Municipios;1071;Patones;2.96;
2019;Municipios;1087;Pedrezuela;5.14;
2019;Municipios;1090;Pelayos de la Presa;9.63;
2019;Municipios;1104;Perales de Tajuña;9.30;
2019;Municipios;1111;Pezuela de las Torres;4.75;
2019;Municipios;1126;Pinilla del Valle;3.14;
2019;Municipios;1132;Pinto;5.92;
2019;Municipios;1147;Piñuécar-Gandullas;3.78;
2019;Municipios;1150;Pozuelo de Alarcón;2.67;
2019;Municipios;1163;Pozuelo del Rey;5.58;
2019;Municipios;1179;Prádena del Rincón;2.56;
2019;Municipios;1185;Puebla de la Sierra;7.69;
2019;Municipios;9020;Puentes Viejas;6.33;
2019;Municipios;1198;Quijorna;5.18;
2019;Municipios;1202;Rascafría;4.51;
2019;Municipios;1219;Redueña;4.62;
2019;Municipios;1224;Ribatejada;7.15;
2019;Municipios;1230;Rivas-Vaciamadrid;4.57;
2019;Municipios;1245;Robledillo de la Jara;2.50;
2019;Municipios;1258;Robledo de Chavela;5.64;
2019;Municipios;1261;Robregordo;3.45;
2019;Municipios;1277;Rozas de Madrid (Las);3.07;
2019;Municipios;1283;Rozas de Puerto Real;5.28;
2019;Municipios;1296;San Agustín del Guadalix;3.94;
2019;Municipios;1300;San Fernando de Henares;5.83;
2019;Municipios;1317;San Lorenzo de El Escorial;4.43;
2019;Municipios;1322;San Martín de la Vega;6.92;
2019;Municipios;1338;San Martín de Valdeiglesias;7.55;
2019;Municipios;1343;San Sebastián de los Reyes;4.46;
2019;Municipios;1356;Santa María de la Alameda;7.42;
2019;Municipios;1369;Santorcaz;4.85;
2019;Municipios;1375;Santos de la Humosa (Los);5.71;
2019;Municipios;1381;Serna del Monte (La);12.35;
2019;Municipios;1408;Serranillos del Valle;5.81;
2019;Municipios;1415;Sevilla la Nueva;5.03;
2019;Municipios;1436;Somosierra;4.65;
2019;Municipios;1441;Soto del Real;4.27;
2019;Municipios;1454;Talamanca de Jarama;5.13;
2019;Municipios;1467;Tielmes;8.75;
2019;Municipios;1473;Titulcia;7.62;
2019;Municipios;1489;Torrejón de Ardoz;6.54;
2019;Municipios;1492;Torrejón de la Calzada;4.95;
2019;Municipios;1505;Torrejón de Velasco;5.04;
2019;Municipios;1512;Torrelaguna;5.17;
2019;Municipios;1527;Torrelodones;2.82;
2019;Municipios;1533;Torremocha de Jarama;5.50;
2019;Municipios;1548;Torres de la Alameda;7.12;
2019;Municipios;9036;Tres Cantos;3.15;
2019;Municipios;1551;Valdaracete;9.52;
2019;Municipios;1564;Valdeavero;5.79;
2019;Municipios;1570;Valdelaguna;6.30;
2019;Municipios;1586;Valdemanco;4.70;
2019;Municipios;1599;Valdemaqueda;9.99;
2019;Municipios;1603;Valdemorillo;4.94;
2019;Municipios;1610;Valdemoro;6.11;
2019;Municipios;1625;Valdeolmos-Alalpardo;3.36;
2019;Municipios;1631;Valdepiélagos;4.97;
2019;Municipios;1646;Valdetorres de Jarama;6.12;
2019;Municipios;1659;Valdilecha;7.64;
2019;Municipios;1662;Valverde de Alcalá;5.59;
2019;Municipios;1678;Velilla de San Antonio;5.52;
2019;Municipios;1684;Vellón (El);7.46;
2019;Municipios;1697;Venturada;3.88;
2019;Municipios;1718;Villa del Prado;6.07;
2019;Municipios;1701;Villaconejos;8.15;
2019;Municipios;1723;Villalbilla;4.44;
2019;Municipios;1739;Villamanrique de Tajo;9.10;
2019;Municipios;1744;Villamanta;6.54;
2019;Municipios;1757;Villamantilla;7.08;
2019;Municipios;1760;Villanueva de la Cañada;3.27;
2019;Municipios;1782;Villanueva de Perales;5.76;
2019;Municipios;1776;Villanueva del Pardillo;3.87;
2019;Municipios;1795;Villar del Olmo;6.36;
2019;Municipios;1809;Villarejo de Salvanés;8.13;
2019;Municipios;1816;Villaviciosa de Odón;3.26;
2019;Municipios;1821;Villavieja del Lozoya;3.16;
2019;Municipios;1837;Zarzalejo;6.57;
2019;Zonas Estadísticas;03;Este Metropolitano;6.02;
2019;Zonas Estadísticas;01;Municipio de Madrid;5.13;
2019;Zonas Estadísticas;07;Nordeste Comunidad;5.43;
2019;Zonas Estadísticas;02;Norte Metropolitano;4.14;
2019;Zonas Estadísticas;05;Oeste Metropolitano;3.52;
2019;Zonas Estadísticas;11;Sierra Central;4.78;
2019;Zonas Estadísticas;06;Sierra Norte;5.41;
2019;Zonas Estadísticas;10;Sierra Sur;7.61;
2019;Zonas Estadísticas;08;Sudeste Comunidad;6.78;
2019;Zonas Estadísticas;09;Sudoeste Comunidad;5.32;
2019;Zonas Estadísticas;04;Sur Metropolitano;6.24;
2020;Comunidad de Madrid;;Comunidad de Madrid;5.37;
2020;Municipios;0014;Acebeda (La);10.29;
2020;Municipios;0029;Ajalvir;5.06;
2020;Municipios;0035;Alameda del Valle;4.41;
2020;Municipios;0040;Álamo (El);6.06;
2020;Municipios;0053;Alcalá de Henares;6.51;
2020;Municipios;0066;Alcobendas;4.20;
2020;Municipios;0072;Alcorcón;5.55;
2020;Municipios;0088;Aldea del Fresno;8.01;
2020;Municipios;0091;Algete;4.44;
2020;Municipios;0105;Alpedrete;4.85;
2020;Municipios;0112;Ambite;9.69;
2020;Municipios;0127;Anchuelo;6.07;
2020;Municipios;0133;Aranjuez;7.09;
2020;Municipios;0148;Arganda del Rey;7.88;
2020;Municipios;0151;Arroyomolinos;4.34;
2020;Municipios;0164;Atazar (El);8.89;
2020;Municipios;0170;Batres;4.74;
2020;Municipios;0186;Becerril de la Sierra;5.46;
2020;Municipios;0199;Belmonte de Tajo;7.19;
2020;Municipios;0210;Berrueco (El);4.38;
2020;Municipios;0203;Berzosa del Lozoya;3.15;
2020;Municipios;0225;Boadilla del Monte;2.72;
2020;Municipios;0231;Boalo (El);5.22;
2020;Municipios;0246;Braojos;2.43;
2020;Municipios;0259;Brea de Tajo;9.29;
2020;Municipios;0262;Brunete;4.80;
2020;Municipios;0278;Buitrago del Lozoya;4.70;
2020;Municipios;0284;Bustarviejo;6.23;
2020;Municipios;0297;Cabanillas de la Sierra;3.44;
2020;Municipios;0301;Cabrera (La);7.24;
2020;Municipios;0318;Cadalso de los Vidrios;9.88;
2020;Municipios;0323;Camarma de Esteruelas;6.75;
2020;Municipios;0339;Campo Real;6.59;
2020;Municipios;0344;Canencia;6.26;
2020;Municipios;0357;Carabaña;7.11;
2020;Municipios;0360;Casarrubuelos;6.09;
2020;Municipios;0376;Cenicientos;9.72;
2020;Municipios;0382;Cercedilla;5.02;
2020;Municipios;0395;Cervera de Buitrago;5.56;
2020;Municipios;0513;Chapinería;8.08;
2020;Municipios;0528;Chinchón;6.80;
2020;Municipios;0409;Ciempozuelos;6.78;
2020;Municipios;0416;Cobeña;3.18;
2020;Municipios;0468;Collado Mediano;6.15;
2020;Municipios;0474;Collado Villalba;6.52;
2020;Municipios;0437;Colmenar de Oreja;7.89;
2020;Municipios;0421;Colmenar del Arroyo;6.39;
2020;Municipios;0455;Colmenar Viejo;4.95;
2020;Municipios;0442;Colmenarejo;5.38;
2020;Municipios;0480;Corpa;6.22;
2020;Municipios;0493;Coslada;5.60;
2020;Municipios;0506;Cubas de la Sagra;4.69;
2020;Municipios;0534;Daganzo de Arriba;4.92;
2020;Municipios;0549;Escorial (El);5.14;
2020;Municipios;0552;Estremera;7.05;
2020;Municipios;0565;Fresnedillas de la Oliva;6.97;
2020;Municipios;0571;Fresno de Torote;5.65;
2020;Municipios;0587;Fuenlabrada;6.80;
2020;Municipios;0590;Fuente el Saz de Jarama;6.13;
2020;Municipios;0604;Fuentidueña de Tajo;7.63;
2020;Municipios;0611;Galapagar;5.25;
2020;Municipios;0626;Garganta de los Montes;7.69;
2020;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;6.15;
2020;Municipios;0647;Gascones;3.41;
2020;Municipios;0650;Getafe;5.64;
2020;Municipios;0663;Griñón;4.52;
2020;Municipios;0679;Guadalix de la Sierra;5.95;
2020;Municipios;0685;Guadarrama;4.93;
2020;Municipios;0698;Hiruela (La);3.08;
2020;Municipios;0702;Horcajo de la Sierra-Aoslos;3.95;
2020;Municipios;0719;Horcajuelo de la Sierra;3.37;
2020;Municipios;0724;Hoyo de Manzanares;4.05;
2020;Municipios;0730;Humanes de Madrid;6.88;
2020;Municipios;0745;Leganés;5.93;
2020;Municipios;0758;Loeches;5.66;
2020;Municipios;0761;Lozoya;5.00;
2020;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5.52;
2020;Municipios;0783;Madarcos;4.08;
2020;Municipios;0796;Madrid;5.18;
2020;Municipios;0800;Majadahonda;3.14;
2020;Municipios;0822;Manzanares el Real;5.64;
2020;Municipios;0838;Meco;6.32;
2020;Municipios;0843;Mejorada del Campo;6.67;
2020;Municipios;0856;Miraflores de la Sierra;6.38;
2020;Municipios;0869;Molar (El);5.45;
2020;Municipios;0875;Molinos (Los);5.32;
2020;Municipios;0881;Montejo de la Sierra;5.22;
2020;Municipios;0894;Moraleja de Enmedio;5.56;
2020;Municipios;0908;Moralzarzal;4.84;
2020;Municipios;0915;Morata de Tajuña;7.48;
2020;Municipios;0920;Móstoles;6.14;
2020;Municipios;0936;Navacerrada;4.40;
2020;Municipios;0941;Navalafuente;7.35;
2020;Municipios;0954;Navalagamella;6.83;
2020;Municipios;0967;Navalcarnero;5.96;
2020;Municipios;0973;Navarredonda y San Mamés;5.43;
2020;Municipios;0992;Navas del Rey;7.62;
2020;Municipios;1006;Nuevo Baztán;6.59;
2020;Municipios;1013;Olmeda de las Fuentes;4.62;
2020;Municipios;1028;Orusco de Tajuña;7.72;
2020;Municipios;1049;Paracuellos de Jarama;3.20;
2020;Municipios;1065;Parla;7.55;
2020;Municipios;1071;Patones;2.97;
2020;Municipios;1087;Pedrezuela;4.99;
2020;Municipios;1090;Pelayos de la Presa;9.08;
2020;Municipios;1104;Perales de Tajuña;9.30;
2020;Municipios;1111;Pezuela de las Torres;4.50;
2020;Municipios;1126;Pinilla del Valle;5.79;
2020;Municipios;1132;Pinto;6.20;
2020;Municipios;1147;Piñuécar-Gandullas;6.70;
2020;Municipios;1150;Pozuelo de Alarcón;2.70;
2020;Municipios;1163;Pozuelo del Rey;6.74;
