Municipio;Tipo de dato;Periodo;Total
23095 Villacarrillo;Índice;2023;106,943
Resto Jaén;Índice;2023;109,708
24008 Astorga;Índice;2023;107,127
24010 Bañeza, La;Índice;2023;108,874
24089 León;Índice;2023;111,289
24115 Ponferrada;Índice;2023;109,135
24142 San Andrés del Rabanedo;Índice;2023;110,220
24222 Villaquilambre;Índice;2023;111,300
Resto León;Índice;2023;107,963
25040 Balaguer;Índice;2023;112,596
25120 Lleida;Índice;2023;116,880
25137 Mollerussa;Índice;2023;117,037
25203 Seu d'Urgell, La;Índice;2023;115,320
25217 Tàrrega;Índice;2023;119,473
Resto Lleida;Índice;2023;113,761
26018 Arnedo;Índice;2023;115,616
26036 Calahorra;Índice;2023;114,266
26071 Haro;Índice;2023;116,942
26084 Lardero;Índice;2023;120,867
26089 Logroño;Índice;2023;116,647
Resto Rioja, La;Índice;2023;112,559
27019 Foz;Índice;2023;114,787
27028 Lugo;Índice;2023;113,585
27031 Monforte de Lemos;Índice;2023;109,220
27057 Sarria;Índice;2023;109,875
27065 Vilalba;Índice;2023;113,267
27066 Viveiro;Índice;2023;109,786
Resto Lugo;Índice;2023;109,790
28005 Alcalá de Henares;Índice;2023;117,899
28006 Alcobendas;Índice;2023;115,806
28007 Alcorcón;Índice;2023;117,293
28009 Algete;Índice;2023;114,728
28010 Alpedrete;Índice;2023;118,558
28013 Aranjuez;Índice;2023;121,341
28014 Arganda del Rey;Índice;2023;117,159
28015 Arroyomolinos;Índice;2023;123,239
28022 Boadilla del Monte;Índice;2023;117,955
28026 Brunete;Índice;2023;117,607
28040 Ciempozuelos;Índice;2023;119,144
28045 Colmenar Viejo;Índice;2023;116,265
28047 Collado Villalba;Índice;2023;118,751
28049 Coslada;Índice;2023;115,974
28053 Daganzo de Arriba;Índice;2023;117,670
28054 Escorial, El;Índice;2023;117,863
28058 Fuenlabrada;Índice;2023;117,865
28061 Galapagar;Índice;2023;120,522
28065 Getafe;Índice;2023;119,795
28066 Griñón;Índice;2023;117,384
28068 Guadarrama;Índice;2023;117,375
28073 Humanes de Madrid;Índice;2023;118,586
28074 Leganés;Índice;2023;117,995
28079 Madrid;Índice;2023;118,336
28080 Majadahonda;Índice;2023;117,439
28083 Meco;Índice;2023;121,490
28084 Mejorada del Campo;Índice;2023;116,450
28090 Moralzarzal;Índice;2023;114,599
28092 Móstoles;Índice;2023;116,905
28096 Navalcarnero;Índice;2023;121,807
28104 Paracuellos de Jarama;Índice;2023;116,468
28106 Parla;Índice;2023;120,418
28113 Pinto;Índice;2023;118,480
28115 Pozuelo de Alarcón;Índice;2023;116,902
28123 Rivas-Vaciamadrid;Índice;2023;116,345
28127 Rozas de Madrid, Las;Índice;2023;118,486
28129 San Agustín del Guadalix;Índice;2023;116,155
28130 San Fernando de Henares;Índice;2023;112,163
28131 San Lorenzo de El Escorial;Índice;2023;118,689
28132 San Martín de la Vega;Índice;2023;113,920
28134 San Sebastián de los Reyes;Índice;2023;115,744
28148 Torrejón de Ardoz;Índice;2023;116,699
28152 Torrelodones;Índice;2023;116,529
28160 Valdemorillo;Índice;2023;122,014
28161 Valdemoro;Índice;2023;122,392
28167 Velilla de San Antonio;Índice;2023;115,423
28172 Villalbilla;Índice;2023;114,055
28176 Villanueva de la Cañada;Índice;2023;125,794
28177 Villanueva del Pardillo;Índice;2023;120,560
28181 Villaviciosa de Odón;Índice;2023;119,104
28903 Tres Cantos;Índice;2023;114,775
Resto Madrid;Índice;2023;118,417
29007 Alhaurín de la Torre;Índice;2023;118,878
29008 Alhaurín el Grande;Índice;2023;131,918
29012 Álora;Índice;2023;124,029
29015 Antequera;Índice;2023;118,231
29025 Benalmádena;Índice;2023;125,194
29038 Cártama;Índice;2023;124,160
29042 Coín;Índice;2023;126,397
29051 Estepona;Índice;2023;127,386
29054 Fuengirola;Índice;2023;122,570
29067 Málaga;Índice;2023;126,081
29068 Manilva;Índice;2023;120,764
29069 Marbella;Índice;2023;122,395
29070 Mijas;Índice;2023;123,421
29075 Nerja;Índice;2023;115,001
29082 Rincón de la Victoria;Índice;2023;124,722
29084 Ronda;Índice;2023;116,770
29091 Torrox;Índice;2023;119,218
29094 Vélez-Málaga;Índice;2023;121,230
29901 Torremolinos;Índice;2023;124,731
Resto Málaga;Índice;2023;119,282
30002 Abarán;Índice;2023;111,748
30003 Águilas;Índice;2023;111,113
30005 Alcantarilla;Índice;2023;116,607
30008 Alhama de Murcia;Índice;2023;117,031
30009 Archena;Índice;2023;121,006
30010 Beniel;Índice;2023;116,152
30012 Bullas;Índice;2023;100,031
30013 Calasparra;Índice;2023;115,672
30015 Caravaca de la Cruz;Índice;2023;115,112
30016 Cartagena;Índice;2023;115,464
30017 Cehegín;Índice;2023;120,878
30018 Ceutí;Índice;2023;119,640
30019 Cieza;Índice;2023;113,679
30020 Fortuna;Índice;2023;112,394
30021 Fuente Álamo de Murcia;Índice;2023;112,965
30022 Jumilla;Índice;2023;117,969
30024 Lorca;Índice;2023;115,152
30026 Mazarrón;Índice;2023;114,538
30027 Molina de Segura;Índice;2023;119,443
30029 Mula;Índice;2023;114,915
30030 Murcia;Índice;2023;120,941
30033 Puerto Lumbreras;Índice;2023;116,972
30035 San Javier;Índice;2023;117,395
30036 San Pedro del Pinatar;Índice;2023;109,995
30037 Torre-Pacheco;Índice;2023;110,707
30038 Torres de Cotillas, Las;Índice;2023;116,746
30039 Totana;Índice;2023;115,137
30041 Unión, La;Índice;2023;119,823
30043 Yecla;Índice;2023;122,038
30901 Santomera;Índice;2023;110,905
30902 Alcázares, Los;Índice;2023;110,926
Resto Murcia;Índice;2023;113,988
32008 Barbadás;Índice;2023;110,754
32009 Barco de Valdeorras, O;Índice;2023;110,932
32019 Carballiño, O;Índice;2023;107,132
32054 Ourense;Índice;2023;112,689
32085 Verín;Índice;2023;102,664
Resto Ourense;Índice;2023;108,400
33002 Aller;Índice;2023;113,726
33004 Avilés;Índice;2023;110,135
33011 Cangas del Narcea;Índice;2023;110,017
33014 Carreño;Índice;2023;111,057
33016 Castrillón;Índice;2023;110,155
33020 Corvera de Asturias;Índice;2023;108,540
33024 Gijón;Índice;2023;112,841
33025 Gozón;Índice;2023;111,054
33031 Langreo;Índice;2023;107,142
33032 Laviana;Índice;2023;110,877
33033 Lena;Índice;2023;108,187
33034 Valdés;Índice;2023;108,252
33035 Llanera;Índice;2023;112,235
33036 Llanes;Índice;2023;111,366
33037 Mieres;Índice;2023;107,623
33044 Oviedo;Índice;2023;112,472
33060 San Martín del Rey Aurelio;Índice;2023;103,625
33066 Siero;Índice;2023;111,448
33076 Villaviciosa;Índice;2023;111,807
Resto Asturias;Índice;2023;110,712
34120 Palencia;Índice;2023;112,178
Resto Palencia;Índice;2023;109,700
35002 Agüimes;Índice;2023;118,066
35003 Antigua;Índice;2023;119,853
35004 Arrecife;Índice;2023;124,070
35006 Arucas;Índice;2023;116,137
35009 Gáldar;Índice;2023;117,805
35011 Ingenio;Índice;2023;118,938
35012 Mogán;Índice;2023;112,872
35014 Oliva, La;Índice;2023;128,388
35015 Pájara;Índice;2023;115,108
35016 Palmas de Gran Canaria, Las;Índice;2023;115,676
35017 Puerto del Rosario;Índice;2023;125,580
35018 San Bartolomé;Índice;2023;118,262
35019 San Bartolomé de Tirajana;Índice;2023;114,626
35021 Santa Brígida;Índice;2023;116,583
35022 Santa Lucía de Tirajana;Índice;2023;119,047
35023 Santa María de Guía de Gran Canaria;Índice;2023;121,512
35024 Teguise;Índice;2023;120,054
35026 Telde;Índice;2023;118,331
35027 Teror;Índice;2023;118,965
35028 Tías;Índice;2023;121,056
35030 Tuineje;Índice;2023;119,560
35034 Yaiza;Índice;2023;123,023
Resto Palmas, Las;Índice;2023;116,049
36003 Baiona;Índice;2023;112,545
36004 Bueu;Índice;2023;111,685
36006 Cambados;Índice;2023;113,026
36008 Cangas;Índice;2023;112,986
36017 Estrada, A;Índice;2023;111,128
36021 Gondomar;Índice;2023;113,597
36022 Grove, O;Índice;2023;112,792
36023 Guarda, A;Índice;2023;114,570
36024 Lalín;Índice;2023;114,213
36026 Marín;Índice;2023;110,314
36029 Moaña;Índice;2023;106,086
36033 Mos;Índice;2023;110,735
36035 Nigrán;Índice;2023;116,114
36038 Pontevedra;Índice;2023;116,400
36039 Porriño, O;Índice;2023;116,394
36041 Poio;Índice;2023;117,923
36042 Ponteareas;Índice;2023;117,096
36045 Redondela;Índice;2023;115,652
36050 Salvaterra de Miño;Índice;2023;116,295
36051 Sanxenxo;Índice;2023;113,867
36054 Tomiño;Índice;2023;113,665
36055 Tui;Índice;2023;115,187
36057 Vigo;Índice;2023;115,407
36060 Vilagarcía de Arousa;Índice;2023;116,371
36061 Vilanova de Arousa;Índice;2023;113,418
Resto Pontevedra;Índice;2023;115,266
37046 Béjar;Índice;2023;105,972
37107 Ciudad Rodrigo;Índice;2023;110,574
37274 Salamanca;Índice;2023;112,972
37294 Santa Marta de Tormes;Índice;2023;110,919
Resto Salamanca;Índice;2023;112,540
38001 Adeje;Índice;2023;120,088
38006 Arona;Índice;2023;123,432
38011 Candelaria;Índice;2023;124,163
38017 Granadilla de Abona;Índice;2023;128,988
38019 Guía de Isora;Índice;2023;121,673
38020 Güímar;Índice;2023;124,133
38022 Icod de los Vinos;Índice;2023;123,308
38023 San Cristóbal de La Laguna;Índice;2023;121,504
38024 Llanos de Aridane, Los;Índice;2023;122,714
38026 Orotava, La;Índice;2023;118,795
38028 Puerto de la Cruz;Índice;2023;119,545
38031 Realejos, Los;Índice;2023;112,103
38032 Rosario, El;Índice;2023;121,132
38035 San Miguel de Abona;Índice;2023;124,029
38037 Santa Cruz de la Palma;Índice;2023;121,658
38038 Santa Cruz de Tenerife;Índice;2023;120,995
38039 Santa Úrsula;Índice;2023;117,482
38040 Santiago del Teide;Índice;2023;120,398
38043 Tacoronte;Índice;2023;120,973
38046 Tegueste;Índice;2023;114,335
Resto Santa Cruz de Tenerife;Índice;2023;120,540
39008 Astillero, El;Índice;2023;115,024
39016 Camargo;Índice;2023;115,389
39020 Castro-Urdiales;Índice;2023;113,544
39025 Corrales de Buelna, Los;Índice;2023;114,164
39035 Laredo;Índice;2023;115,054
39052 Piélagos;Índice;2023;119,132
39073 Santa Cruz de Bezana;Índice;2023;115,440
39075 Santander;Índice;2023;115,368
39079 Santoña;Índice;2023;106,377
39087 Torrelavega;Índice;2023;114,208
Resto Cantabria;Índice;2023;114,859
40194 Segovia;Índice;2023;114,172
Resto Segovia;Índice;2023;113,787
41004 Alcalá de Guadaíra;Índice;2023;118,360
41005 Alcalá del Río;Índice;2023;118,846
41007 Algaba, La;Índice;2023;118,733
41011 Arahal;Índice;2023;114,222
41016 Bollullos de la Mitación;Índice;2023;117,752
41017 Bormujos;Índice;2023;116,871
41018 Brenes;Índice;2023;114,164
41020 Cabezas de San Juan, Las;Índice;2023;127,772
41021 Camas;Índice;2023;118,079
41023 Cantillana;Índice;2023;100,871
41024 Carmona;Índice;2023;116,217
41029 Castilleja de la Cuesta;Índice;2023;123,884
41034 Coria del Río;Índice;2023;111,724
41038 Dos Hermanas;Índice;2023;120,923
41039 Écija;Índice;2023;114,261
41040 Espartinas;Índice;2023;112,801
41041 Estepa;Índice;2023;115,943
41044 Gelves;Índice;2023;114,399
41047 Gines;Índice;2023;117,770
41049 Guillena;Índice;2023;108,004
41053 Lebrija;Índice;2023;119,862
41055 Lora del Río;Índice;2023;118,031
41058 Mairena del Alcor;Índice;2023;116,245
41059 Mairena del Aljarafe;Índice;2023;118,934
41060 Marchena;Índice;2023;113,902
41065 Morón de la Frontera;Índice;2023;108,088
41068 Osuna;Índice;2023;114,635
41069 Palacios y Villafranca, Los;Índice;2023;108,087
41075 Pilas;Índice;2023;119,434
41077 Puebla de Cazalla, La;Índice;2023;120,270
41079 Puebla del Río, La;Índice;2023;117,277
41081 Rinconada, La;Índice;2023;112,780
41086 San Juan de Aznalfarache;Índice;2023;116,692
41087 Sanlúcar la Mayor;Índice;2023;119,164
41091 Sevilla;Índice;2023;117,963
41093 Tomares;Índice;2023;116,143
41095 Utrera;Índice;2023;115,251
41102 Viso del Alcor, El;Índice;2023;114,323
Resto Sevilla;Índice;2023;111,672
42173 Soria;Índice;2023;117,978
Resto Soria;Índice;2023;108,474
43014 Amposta;Índice;2023;117,969
