"";"Serie";"...2";"...3";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"71";"Municipios";"0590";"Fuente el Saz de Jarama";8283229700;8713782000;9007226000;9311916600;9602106500;9681012300;10531690400;11773759800;127736196
"72";"Municipios";"0604";"Fuentidueña de Tajo";1850887500;1897400600;2037679500;2310274000;2508444600;2599582200;2783560900;3102306900;33324862
"73";"Municipios";"0611";"Galapagar";49629133400;51770317800;53353488600;56480844100;59984997200;61119384300;64328774400;69855470100;761849806
"74";"Municipios";"0626";"Garganta de los Montes";538188300;551379800;569258400;568562400;649857600;773913000;719215200;815080700;9122115
"75";"Municipios";"0632";"Gargantilla del Lozoya y Pinilla de Buitrago";470634500;442338000;512817500;544437300;536537200;611926500;699179200;817322000;8687665
"76";"Municipios";"0647";"Gascones";243059400;265672000;253424000;263657300;283870400;331238400;401100300;413185400;4964968
"77";"Municipios";"0650";"Getafe";243748560000;249278888100;263488501200;281624150000;295027788000;298402953900;313734803000;341343280800;3686684004
"78";"Municipios";"0663";"Griñón";13584097600;14232996000;15081360000;16040225200;17272711800;17438289500;18580387500;20147305500;221545122
"79";"Municipios";"0679";"Guadalix de la Sierra";7704377000;7684421600;8313733500;8807391600;9593896000;10152696000;10674773800;11598702000;128716819
"80";"Municipios";"0685";"Guadarrama";21955314100;22963699200;23501179800;24848629200;26737467900;27714905900;29426145600;31718729600;340922820
"81";"Municipios";"0698";"Hiruela (La)";120099600;136132500;138306000;167773200;NA;NA;NA;NA;1677732
"82";"Municipios";"0702";"Horcajo de la Sierra-Aoslos";227384300;226967700;246078000;243408300;282963200;342854400;391771300;444787200;4883802
"83";"Municipios";"0719";"Horcajuelo de la Sierra";182850000;180224000;184399200;199933200;NA;NA;NA;NA;1999332
"84";"Municipios";"0724";"Hoyo de Manzanares";14664533800;15060662000;15449645100;16717307500;17019317600;17746668800;18856284000;20915960000;226976064
"85";"Municipios";"0730";"Humanes de Madrid";19420129500;19927460000;20713671000;22029038300;23082742800;23406774800;25039398800;27122394000;293236708
"86";"Municipios";"0745";"Leganés";238329763200;245067994800;254509440000;266573515200;278817905400;277978295000;289760684800;311017349700;3340057082
"87";"Municipios";"0758";"Loeches";10124096700;10626006400;11375733600;12201554400;13149701400;12989019600;13831511400;14973399400;164474704
"88";"Municipios";"0761";"Lozoya";974367900;861193000;910833400;908916400;947417700;1091772000;1228311000;1358872200;12915220
"89";"Municipios";"9015";"Lozoyuela-Navas-Sieteiglesias";1237017600;1286663700;1361406200;1484678200;1570798400;1740772800;1910746000;2144715500;22849504
"90";"Municipios";"0783";"Madarcos";93776400;114351300;134568000;139811000;NA;NA;NA;NA;1398110
"91";"Municipios";"0796";"Madrid";5983935882000;6192037970900;6397873595100;6834464700400;7091620809600;7017408869600;7296312490500;7898358115200;85393221995
"92";"Municipios";"0800";"Majadahonda";172078699800;172143427500;180290544000;190040004700;195041295800;194915848500;204392375000;218864658600;2341093751
"93";"Municipios";"0822";"Manzanares el Real";12857013000;13227128200;13579551700;14785839600;15723825800;16658204400;17510232600;19152432000;208297092
"94";"Municipios";"0838";"Meco";17822836800;18409009500;19903576000;21511224000;23072865200;24160312800;25826454600;28484163600;311271324
"95";"Municipios";"0843";"Mejorada del Campo";25271703000;26325485000;27523100200;28903149200;30662219800;30851823600;32702924100;35187594500;379640808
"96";"Municipios";"0856";"Miraflores de la Sierra";8449184000;8132710800;8602977600;9340050100;10182225000;11102388500;11859927000;13116537000;142994298
"97";"Municipios";"0869";"Molar (El)";9443473400;9541801200;10315822000;10913162400;11661269200;11896242000;12853270800;13937878500;153944296
"98";"Municipios";"0875";"Molinos (Los)";6520267800;6321228000;6902902500;7139378600;7808832000;7644063600;8097750000;9190346000;96853806
"99";"Municipios";"0881";"Montejo de la Sierra";354728500;359424100;370849700;381110400;427773800;445086400;509733000;535525200;5744970
"100";"Municipios";"0894";"Moraleja de Enmedio";6071621100;5989572600;6461583600;6902692000;7396810200;7736915200;8383192700;9329165100;101455627
"101";"Municipios";"0908";"Moralzarzal";20006085000;20557511000;21407790000;22900639400;24876334400;25630060500;27461952000;29697035600;328528200
"102";"Municipios";"0915";"Morata de Tajuña";7470229000;7769514000;8140156400;8666424000;9197410000;9466810800;10089334400;10947949000;119865410
"103";"Municipios";"0920";"Móstoles";248789480400;254665555200;264170230100;277178722400;292567578000;293829240000;307183625000;326807695400;3505791420
"104";"Municipios";"0936";"Navacerrada";4749632800;4847937600;5199030900;5322376000;5758675000;6399231400;6879968700;7098761900;76011932
"105";"Municipios";"0941";"Navalafuente";1632617500;1716440600;1833883800;1947303700;2142231000;2297011500;2497345200;2654801600;30081792
"106";"Municipios";"0954";"Navalagamella";2522086000;2577934500;2871382500;3067771800;3203955000;3297596800;3578694000;4167662400;45699588
"107";"Municipios";"0967";"Navalcarnero";32668533400;33595410000;36143778000;38819718600;41547033600;43257600000;46755475200;50841978200;560125491
"108";"Municipios";"0973";"Navarredonda y San Mamés";206921000;233337000;261186300;255450000;290296000;282056400;274159400;322263900;3817660
"109";"Municipios";"0992";"Navas del Rey";2727311700;2832586600;2949816800;3195064600;3593183400;3727586000;4057218000;4524872100;49828878
"110";"Municipios";"1006";"Nuevo Baztán";8116647300;7972799100;8644870800;9147329600;9877434700;10069078000;10922185800;12215722800;133754699
"111";"Municipios";"1013";"Olmeda de las Fuentes";569895600;546298500;599302800;621528000;730840900;657360000;782907200;866012000;10472854
"112";"Municipios";"1028";"Orusco de Tajuña";1207974500;1185038000;1292356000;1345879400;1448658000;1481684400;1601406000;1789395600;20203128
"113";"Municipios";"1049";"Paracuellos de Jarama";43739542800;45678427900;48327760000;52236549400;56044195900;56254517800;58911586800;64901096100;706294350
"114";"Municipios";"1065";"Parla";120768408000;122900554400;131281385200;139221043400;146996448000;146997823000;153880668500;166128997300;1794892614
"115";"Municipios";"1071";"Patones";776443000;752020000;727649400;807963400;790236300;841771000;885495000;969343200;10319925
"116";"Municipios";"1087";"Pedrezuela";7941482100;7941028900;8489232500;9007808000;9755826300;10022672800;10715000600;11883701000;128542820
"117";"Municipios";"1090";"Pelayos de la Presa";2240032800;2266888900;2435305000;2683665600;2937173400;3298621500;3408614300;3757866500;42742080
"118";"Municipios";"1104";"Perales de Tajuña";2913738800;3001271000;3171928000;3422527500;3615483600;3743838600;3949560000;4424289600;47882100
"119";"Municipios";"1111";"Pezuela de las Torres";921961500;1008586500;1016348000;1086467000;1187096400;1334458600;1397068000;1528483000;16646850
"120";"Municipios";"1126";"Pinilla del Valle";279091200;285473500;279985800;274721000;293299600;334395600;357805800;410917200;4349145
"121";"Municipios";"1132";"Pinto";66974919200;68771024100;73739308300;78016646400;83288528400;84248167500;89204273500;96858464800;1044976725
"122";"Municipios";"1147";"Piñuécar-Gandullas";219354500;226554000;222972000;249264800;253732500;273837000;297969600;301692200;3369775
"123";"Municipios";"1150";"Pozuelo de Alarcón";277462552500;300847750000;305168882200;336194398700;311495007600;313267846400;330832936200;357996465400;3847306512
"124";"Municipios";"1163";"Pozuelo del Rey";1272457300;1307673000;1432977000;1516009000;1535466800;1653780800;1714926000;1887076400;20701800
"125";"Municipios";"1179";"Prádena del Rincón";196384500;192880800;212695200;223040000;230442100;270241300;339362400;311295000;3178374
"126";"Municipios";"1185";"Puebla de la Sierra";125035200;132502300;188179800;185748900;NA;NA;NA;NA;1857489
"127";"Municipios";"9020";"Puentes Viejas";882323200;903825000;891133700;1034153400;1123773100;1160278000;1258433500;1388580200;14602284
"128";"Municipios";"1198";"Quijorna";4057740700;4251360000;4378125400;4714789200;5052608400;5121899400;5573260800;6179675000;70040890
"129";"Municipios";"1202";"Rascafría";2303712000;2352171600;2427987600;2585536800;2715782500;2928292400;3063265800;3255234100;33820560
"130";"Municipios";"1219";"Redueña";407447100;350276500;366023400;435275400;431675900;538808800;514500000;553819000;5776636
"131";"Municipios";"1224";"Ribatejada";846720000;938722500;971750000;1051488500;1153537000;1228166700;1331911200;1463800700;16915360
"132";"Municipios";"1230";"Rivas-Vaciamadrid";132284027200;138414952000;146362779900;156909312000;169902349500;176347687200;193289859000;213195203000;2342382072
"133";"Municipios";"1245";"Robledillo de la Jara";159584400;190186200;182379400;220604500;NA;NA;NA;NA;2206045
"134";"Municipios";"1258";"Robledo de Chavela";5000065000;4964575200;5333702400;5697771600;6179712000;6746420700;7085342000;7700499200;83799902
"135";"Municipios";"1261";"Robregordo";115164000;127057000;127092000;145802900;NA;NA;NA;NA;1458029
"136";"Municipios";"1277";"Rozas de Madrid (Las)";229924282000;237046598000;237709091200;248239734400;256709132400;254699506600;267355264900;295396274500;3180719920
"137";"Municipios";"1283";"Rozas de Puerto Real";657881900;695446500;710399400;711288600;765219000;845752000;867736800;886105400;9218562
"138";"Municipios";"1296";"San Agustín del Guadalix";23724979200;24310334500;25081235500;27393311700;27531602700;28319073900;30014268800;32522583600;348907275
"139";"Municipios";"1300";"San Fernando de Henares";50956936000;51947781600;53935579200;56411031600;59150430000;58942431900;61227063800;64706141600;697123370
"140";"Municipios";"1317";"San Lorenzo de El Escorial";27036392800;27116773300;28154277500;29967496200;31251259200;31700718000;33609124700;36775580000;395639660
"141";"Municipios";"1338";"San Martín de Valdeiglesias";8161941000;8326797500;8774549000;9422358000;10022850200;10798358200;11510241600;12033204800;134206653
"142";"Municipios";"1322";"San Martín de la Vega";19261736800;19652712000;20888004000;22377983400;23875245000;24284164800;25840348000;27846757000;305519662
"143";"Municipios";"1343";"San Sebastián de los Reyes";144737760000;148770210600;155085382400;167525431000;176904523000;179403301000;188721127600;207050774000;2261020512
"144";"Municipios";"1356";"Santa María de la Alameda";1389597300;1380621000;1414700000;1591886400;1697365700;1881209200;2087767800;2316283500;24622872
"145";"Municipios";"1369";"Santorcaz";946478400;982056000;1063407200;1137065700;1229040000;1287333600;1387459500;1506778000;16265508
"146";"Municipios";"1375";"Santos de la Humosa (Los)";3092809000;3204392700;3246603300;3404690000;3695114500;3799229700;4051409400;4253527700;46193937
