cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,farmacias_10mil,latitud_google_places,longitud_google_places,poblacion_google_places,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max,Año,Tipo territorio,Código territorio,Territorio,paro_total,Estado dato,Año_paro_por100,Tipo territorio_paro_por100,Código territorio_paro_por100,Territorio_paro_por100,paro_100,Estado dato_paro_por100,Año_distancia,Tipo territorio_distancia,Código territorio_distancia,Territorio_distancia,distancia_capital,Estado dato_distancia,afiliados_agricultura_y_ganadería,afiliados_construcción,afiliados_minería_industria_y_energía,afiliados_otros_servicios,afiliados_servicios_a_empresas_y_financieros,afiliados_servicios_de_distribución_y_hostelería,afiliados_total,alumnos_total,cultura,IPVA
382,Cercedilla,40.74145,-4.054667,1191.372,7646.0,1,4,40.74145,-4.054667,7646.0,17,407,4.7842751842751845,4.3,5.0,20,24102,4.412455397892292,3.7,4.7,12,315,4.3330158730158725,3.7,5.0,20,51,4.884313725490196,4.5,5.0,24,283,4.058657243816255,2.3,5.0,2025,Municipios,382.0,Cercedilla,361,,2024,Municipios,382.0,Cercedilla,5.17,,2016,Municipios,382,Cercedilla,57.007,,30,273,119,1278,690,807,3197,2622,0.0,
395,Cervera de Buitrago,40.92196,-3.53016,916.3304,161.0,0,0,40.92196,-3.53016,161.0,2,0,,,,20,13079,4.298302622524658,3.9,5.0,2,21,4.771428571428571,4.2,5.0,1,0,,,,25,16,4.7,4.0,5.0,2025,Municipios,395.0,Cervera de Buitrago,12,,2024,Municipios,395.0,Cervera de Buitrago,6.83,,2016,Municipios,395,Cervera de Buitrago,82.105,,1,6,3,14,4,8,36,22,0.0,
513,Chapinería,40.37918,-4.20943,679.6159,2634.0,0,4,40.37918,-4.20943,2634.0,8,172,4.696511627906976,3.0,5.0,20,7182,4.364160401002507,3.8,5.0,6,81,4.090123456790123,3.5,4.6,14,1286,4.757931570762054,4.7,5.0,24,44,4.163636363636363,1.0,5.0,2025,Municipios,513.0,Chapinería,128,,2024,Municipios,513.0,Chapinería,5.56,,2016,Municipios,513,Chapinería,57.258,,18,72,72,313,208,235,918,1012,0.0,
528,Chinchón,40.14019,-3.415684,777.1609,5820.0,0,3,40.14019,-3.415684,5820.0,10,80,4.441249999999999,3.7,5.0,20,23096,4.273956529269138,3.6,4.7,7,105,4.196190476190476,3.2,5.0,14,19,4.605263157894737,4.5,5.0,21,15,4.2733333333333325,3.5,5.0,2025,Municipios,528.0,Chinchón,354,,2024,Municipios,528.0,Chinchón,6.33,,2016,Municipios,528,Chinchón,45.592,,118,161,246,541,393,751,2210,2248,3.0,
409,Ciempozuelos,40.15934,-3.6184,580.2641,26046.0,0,3,40.15934,-3.6184,26046.0,20,2704,4.491383136094675,1.7,5.0,20,13263,4.033966674206439,3.5,4.6,20,979,3.9516853932584266,2.0,4.7,20,304,4.260526315789474,3.7,5.0,23,315,3.128571428571429,1.0,5.0,2025,Municipios,409.0,Ciempozuelos,1287,,2024,Municipios,409.0,Ciempozuelos,5.32,,2016,Municipios,409,Ciempozuelos,35.54,,55,767,829,2981,2366,3344,10342,11220,1.0,119.144
416,Cobeña,40.56733,-3.504839,677.4468,7742.0,0,3,40.56733,-3.504839,7742.0,20,1368,4.650877192982456,3.3,5.0,20,21095,4.109789049537804,3.4,4.6,12,522,4.34272030651341,3.8,4.9,20,210,4.935714285714286,4.8,5.0,26,26,3.930769230769231,1.0,5.0,2025,Municipios,416.0,Cobeña,231,,2024,Municipios,416.0,Cobeña,3.09,,2016,Municipios,416,Cobeña,34.59,,25,189,244,825,1034,995,3312,3274,1.0,
468,Collado Mediano,40.69389,-4.023123,1029.724,7564.0,0,3,40.69389,-4.023123,7564.0,20,2903,4.35418532552532,3.6,5.0,20,28403,4.476548251945216,3.8,4.9,20,1242,3.921980676328502,2.6,5.0,20,124,4.808870967741935,4.6,5.0,31,418,3.968181818181818,1.0,5.0,2025,Municipios,468.0,Collado Mediano,384,,2024,Municipios,468.0,Collado Mediano,5.01,,2016,Municipios,468,Collado Mediano,47.487,,4,244,119,1049,986,778,3180,1082,1.0,
437,Colmenar de Oreja,40.10758,-3.387693,756.9265,8982.0,1,3,40.10758,-3.387693,8982.0,10,80,4.441249999999999,3.7,5.0,20,24179,4.275123040655114,3.6,4.7,7,105,4.196190476190476,3.2,5.0,14,19,4.605263157894737,4.5,5.0,21,9,4.444444444444445,3.5,5.0,2025,Municipios,437.0,Colmenar de Oreja,514,,2024,Municipios,437.0,Colmenar de Oreja,6.02,,2016,Municipios,437,Colmenar de Oreja,57.211,,80,520,402,790,604,1022,3418,1886,2.0,
421,Colmenar del Arroyo,40.41858,-4.198538,679.1825,2013.0,0,5,40.41858,-4.198538,2013.0,6,141,4.740425531914894,4.6,5.0,20,5763,4.430851986812424,3.8,5.0,5,58,4.205172413793103,3.5,4.6,12,1286,4.757931570762054,4.7,5.0,23,19,4.105263157894737,1.0,5.0,2025,Municipios,421.0,Colmenar del Arroyo,112,,2024,Municipios,421.0,Colmenar del Arroyo,5.86,,2016,Municipios,421,Colmenar del Arroyo,61.175,,16,59,47,236,163,148,669,284,1.0,
442,Colmenarejo,40.56101,-4.016842,875.1868,9741.0,0,2,40.56101,-4.016842,9741.0,20,2375,4.559789473684211,3.2,5.0,20,11453,4.268348904217236,3.8,4.6,20,663,4.150377073906486,2.8,5.0,20,323,4.765634674922601,4.2,5.0,30,254,3.5956692913385826,1.0,5.0,2025,Municipios,442.0,Colmenarejo,441,,2024,Municipios,442.0,Colmenarejo,4.86,,2016,Municipios,442,Colmenarejo,37.111,,13,296,173,1398,1265,1084,4229,4376,0.0,
480,Corpa,40.42489,-3.262723,819.1653,795.0,0,13,40.42489,-3.262723,795.0,8,360,4.227222222222222,3.9,5.0,20,5717,4.252702466328494,3.2,5.0,7,88,4.54090909090909,3.5,5.0,9,26,4.6923076923076925,4.5,5.0,23,14,4.221428571428572,2.7,5.0,2025,Municipios,480.0,Corpa,45,,2024,Municipios,480.0,Corpa,6.31,,2016,Municipios,480,Corpa,46.516,,8,10,59,80,60,81,298,16,0.0,
506,Cubas de la Sagra,40.1917,-3.837347,648.7275,6984.0,0,3,40.1917,-3.837347,6984.0,20,2766,4.108496023138105,2.0,5.0,20,20926,4.122942750645131,2.8,4.8,20,1130,4.509823008849557,4.1,5.0,20,130,4.54923076923077,3.8,5.0,20,3,3.0,2.5,4.0,2025,Municipios,506.0,Cubas de la Sagra,260,,2024,Municipios,506.0,Cubas de la Sagra,3.59,,2016,Municipios,506,Cubas de la Sagra,36.177,,4,259,297,773,620,742,2695,3412,1.0,
534,Daganzo de Arriba,40.54481,-3.457924,665.5711,10673.0,0,2,40.54481,-3.457924,10673.0,20,924,4.827489177489178,3.0,5.0,20,16438,4.233179218883076,3.7,5.0,17,804,4.400995024875622,3.6,4.9,20,1418,4.901763046544429,4.8,5.0,24,11,4.281818181818182,2.5,5.0,2025,Municipios,534.0,Daganzo de Arriba,433,,2024,Municipios,534.0,Daganzo de Arriba,3.86,,2016,Municipios,534,Daganzo de Arriba,36.597,,19,247,536,1152,1375,1597,4926,3688,0.0,117.67
549,Escorial (El),40.58508,-4.12952,915.7729,17262.0,0,3,40.58508,-4.12952,17262.0,20,1088,4.679136029411764,4.0,5.0,20,28035,4.188514357053682,3.3,4.9,14,540,4.360185185185185,2.8,5.0,20,176,4.373295454545454,3.9,4.8,25,628,4.046178343949046,1.0,5.0,2025,Municipios,549.0,Escorial (El),720,,2024,Municipios,549.0,Escorial (El),4.38,,2016,Municipios,549,Escorial (El),51.323,,40,376,272,2550,2021,1829,7088,5942,1.0,
552,Estremera,40.18403,-3.106115,643.0197,1451.0,0,7,40.18403,-3.106115,1451.0,3,1,3.0,3.0,3.0,8,1280,4.12109375,3.8,4.9,3,17,4.658823529411765,4.0,4.8,6,0,,,,20,14,4.285714285714286,3.0,5.0,2025,Municipios,552.0,Estremera,85,,2024,Municipios,552.0,Estremera,5.66,,2016,Municipios,552,Estremera,72.696,,23,46,34,230,61,96,490,312,1.0,
565,Fresnedillas de la Oliva,40.48651,-4.172033,895.7322,1833.0,0,5,40.48651,-4.172033,1833.0,10,193,4.689119170984456,4.0,5.0,20,6296,4.506893265565438,3.7,4.9,5,152,4.5,3.9,4.7,15,32,4.856249999999999,4.8,5.0,23,24,3.6375,3.0,5.0,2025,Municipios,565.0,Fresnedillas de la Oliva,121,,2024,Municipios,565.0,Fresnedillas de la Oliva,6.48,,2016,Municipios,565,Fresnedillas de la Oliva,69.753,,10,69,33,255,152,154,673,376,0.0,
571,Fresno de Torote,40.59229,-3.41205,657.2809,2547.0,0,4,40.59229,-3.41205,2547.0,13,351,4.727065527065527,2.8,5.0,20,9296,4.198192771084337,3.7,4.7,8,270,4.36,3.5,4.9,20,133,4.819548872180452,3.7,5.0,25,17,4.305882352941176,2.5,5.0,2025,Municipios,571.0,Fresno de Torote,127,,2024,Municipios,571.0,Fresno de Torote,5.1,,2016,Municipios,571,Fresno de Torote,46.99,,5,75,114,205,250,269,918,508,1.0,
